,GENE NAME,GENE ID
267,ADAM32,ENSG00000197140
268,ADAM33,ENSG00000149451
269,ADAMDEC1,ENSG00000134028
270,ADAMTS1,ENSG00000154734
271,ADAMTS2,ENSG00000087116
272,ADAMTS3,ENSG00000156140
273,ADAMTS4,ENSG00000158859
274,ADAMTS5,ENSG00000154736
275,ADAMTS6,ENSG00000049192
276,ADAMTS7,ENSG00000136378
277,ADAMTS8,ENSG00000134917
278,ADAMTS9,ENSG00000163638
279,ADAMTS10,ENSG00000142303
280,ADAMTS12,ENSG00000151388
281,ADAMTS13,ENSG00000160323
282,ADAMTS14,ENSG00000138316
283,ADAMTS15,ENSG00000166106
284,ADAMTS16,ENSG00000145536
285,ADAMTS17,ENSG00000140470
286,ADAMTS18,ENSG00000140873
287,ADAMTS19,ENSG00000145808
288,ADAMTS20,ENSG00000173157
289,ADAMTSL1,ENSG00000178031
290,ADAMTSL2,ENSG00000197859
291,ADAMTSL3,ENSG00000156218
292,ADAMTSL4,ENSG00000143382
293,ADAMTSL5,ENSG00000185761
294,ADAP1,ENSG00000105963
295,ADAP2,ENSG00000184060
296,ADAR,ENSG00000160710
297,ADARB1,ENSG00000197381
298,ADARB2,ENSG00000185736
299,ADAT1,ENSG00000065457
300,ADAT2,ENSG00000189007
301,ADAT3,ENSG00000213638
302,ADCK1,ENSG00000063761
303,ADCK2,ENSG00000133597
304,ADCK5,ENSG00000173137
305,ADCY1,ENSG00000164742
306,ADCY2,ENSG00000078295
307,ADCY3,ENSG00000138031
308,ADCY4,ENSG00000129467
309,ADCY5,ENSG00000173175
310,ADCY6,ENSG00000174233
311,ADCY7,ENSG00000121281
312,ADCY8,ENSG00000155897
313,ADCY9,ENSG00000162104
314,ADCY10,ENSG00000143199
315,ADCYAP1,ENSG00000141433
316,ADCYAP1R1,ENSG00000078549
317,ADD1,ENSG00000087274
318,ADD2,ENSG00000075340
319,ADD3,ENSG00000148700
320,ADGB,ENSG00000118492
321,ADGRA1,ENSG00000197177
322,ADGRA2,ENSG00000020181
323,ADGRA3,ENSG00000152990
324,ADGRB1,ENSG00000181790
325,ADGRB2,ENSG00000121753
326,ADGRB3,ENSG00000135298
327,ADGRD1,ENSG00000111452
328,ADGRD2,ENSG00000180264
329,ADGRE1,ENSG00000174837
330,ADGRE2,ENSG00000127507
331,ADGRE3,ENSG00000131355
332,ADGRE5,ENSG00000123146
333,ADGRF1,ENSG00000153292
334,ADGRF3,ENSG00000173567
335,ADGRF4,ENSG00000153294
336,ADGRF5,ENSG00000069122
337,ADGRG1,ENSG00000205336
338,ADGRG2,ENSG00000173698
339,ADGRG3,ENSG00000182885
340,ADGRG4,ENSG00000156920
341,ADGRG5,ENSG00000159618
342,ADGRG6,ENSG00000112414
343,ADGRG7,ENSG00000144820
344,ADGRL1,ENSG00000072071
345,ADGRL2,ENSG00000117114
346,ADGRL3,ENSG00000150471
347,ADGRL4,ENSG00000162618
348,ADGRV1,ENSG00000164199
349,ADH1A,ENSG00000187758
350,ADH1B,ENSG00000196616
351,ADH1C,ENSG00000248144
352,ADH4,ENSG00000198099
353,ADH5,ENSG00000197894
354,ADH6,ENSG00000172955
355,ADH7,ENSG00000196344
356,ADHFE1,ENSG00000147576
357,ADI1,ENSG00000182551
358,ADIG,ENSG00000182035
359,ADIPOQ,ENSG00000181092
360,ADIPOR1,ENSG00000159346
361,ADIPOR2,ENSG00000006831
362,ADIRF,ENSG00000148671
363,ADK,ENSG00000156110
364,ADM,ENSG00000148926
365,ADM2,ENSG00000128165
366,ADM5,ENSG00000224420
367,ADNP,ENSG00000101126
368,ADNP2,ENSG00000101544
369,ADO,ENSG00000181915
370,ADORA1,ENSG00000163485
371,ADORA2A,ENSG00000128271
372,ADORA2B,ENSG00000170425
373,ADORA3,ENSG00000282608
374,ADPGK,ENSG00000159322
