,GENE NAME,GENE ID
15709,SPRR2B,ENSG00000196805
15710,SPRR2D,ENSG00000163216
15711,SPRR2E,ENSG00000203785
15712,SPRR2F,ENSG00000244094
15713,SPRR2G,ENSG00000159516
15714,SPRR3,ENSG00000163209
15715,SPRR4,ENSG00000184148
15716,SPRR5,ENSG00000283227
15717,SPRTN,ENSG00000010072
15718,SPRY1,ENSG00000164056
15719,SPRY2,ENSG00000136158
15720,SPRY3,ENSG00000168939
15721,SPRY4,ENSG00000187678
15722,SPRYD3,ENSG00000167778
15723,SPRYD4,ENSG00000176422
15724,SPRYD7,ENSG00000123178
15725,SPSB1,ENSG00000171621
15726,SPSB2,ENSG00000111671
15727,SPSB3,ENSG00000162032
15728,SPSB4,ENSG00000175093
15729,SPTA1,ENSG00000163554
15730,SPTAN1,ENSG00000197694
15731,SPTB,ENSG00000070182
15732,SPTBN1,ENSG00000115306
15733,SPTBN2,ENSG00000173898
15734,SPTBN4,ENSG00000160460
15735,SPTBN5,ENSG00000137877
15736,SPTLC1,ENSG00000090054
15737,SPTLC2,ENSG00000100596
15738,SPTLC3,ENSG00000172296
15739,SPTSSA,ENSG00000165389
15740,SPTSSB,ENSG00000196542
15741,SPTY2D1,ENSG00000179119
15742,SPX,ENSG00000134548
15743,SPZ1,ENSG00000164299
15744,SQLE,ENSG00000104549
15745,SQOR,ENSG00000137767
15746,SQSTM1,ENSG00000161011
15747,SRA1,ENSG00000213523
15748,SRARP,ENSG00000183888
15749,SRBD1,ENSG00000068784
15750,SRC,ENSG00000197122
15751,SRCAP,ENSG00000080603
15752,SRCIN1,ENSG00000277363
15753,SRD5A1,ENSG00000145545
15754,SRD5A2,ENSG00000277893
15755,SRD5A3,ENSG00000128039
15756,SREBF1,ENSG00000072310
15757,SREBF2,ENSG00000198911
15758,SREK1,ENSG00000153914
15759,SREK1IP1,ENSG00000153006
15760,SRF,ENSG00000112658
15761,SRFBP1,ENSG00000151304
15762,SRGAP1,ENSG00000196935
